tsr_turbine1,cp_turbine1,cd_turbine1,tsr_turbine2,cp_turbine2,cd_turbine2
1.0,0.012748862478148305,0.14825498796818165,4.0,0.242313236555022,0.4362252677779222
2.0,0.009937916823478304,0.1905962647283353,4.0,0.2357984613523253,0.4294687454210918
3.0,0.07400706740081937,0.2873733696428523,4.0,0.2237719235596487,0.4213601268610738
4.0,0.2745539437395809,0.461848602109016,4.0,0.1934007839158124,0.3982686999022116
5.0,0.3789603077906067,0.6101239885039421,4.0,0.16486029058049698,0.3697962563167445
6.0,0.4071826319106627,0.6965397084546048,4.0,0.1530538608108443,0.3584238365755669
7.0,0.39404807376534334,0.7527188303382075,4.0,0.14977636191341914,0.3563608396563094
8.0,0.3470563023459022,0.7912725644728363,4.0,0.15184248929157285,0.3602799603063253
9.0,0.2625661989566547,0.8166993838634151,4.0,0.15786239727571658,0.3680620424288224
10.0,0.13630931718794612,0.8310653718352735,4.0,0.16637903963094608,0.3773550042198603
11.0,-0.03802331506101397,0.8352825207431757,4.0,0.17605359088578842,0.3866145099761956
